# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	582
#@/user_id	29c084a4-a1b2-43db-897a-9fc57eac2c65
a 	啊	c=1 d=1 t=569
yin wei 	因爲	c=1 d=1 t=380
yin xing 	音形	c=1 d=1 t=163
ying wen 	英文	c=3 d=1.25413 t=575
ying wen ming 	英文名	c=1 d=1 t=41
you 	又	c=1 d=1 t=366
you 	右	c=2 d=1.8781 t=292
you shou 	右手	c=1 d=1 t=136
you wan 	遊玩	c=1 d=1 t=111
you xi 	遊戲	c=1 d=1 t=462
you ya 	優雅	c=0 d=0.1 t=41
you ya zi ji 	優雅自己	c=1 d=1 t=42
yu 	與	c=1 d=1 t=258
yu lan 	預覽	c=1 d=1 t=379
yu yin 	語音	c=3 d=0.367036 t=582
yu yin shi bie 	語音識別	c=1 d=1 t=197
yuan shu ju 	元數據	c=1 d=1 t=373
yun 	雲	c=0 d=0.1 t=453
zai 	在	c=1 d=1 t=241
zai xian 	在線	c=1 d=1 t=79
zao 	造	c=0 d=0.1 t=403
zao lun zi 	造輪子	c=1 d=1 t=404
zeng da 	增大	c=2 d=1.96079 t=304
zhe 	這	c=1 d=1 t=119
zhe jiu shi 	這就是	c=4 d=2.82652 t=582
zheng li 	整理	c=1 d=1 t=392
zheng ma 	鄭碼	c=2 d=1.99501 t=168
zheng ze biao da shi 	正則表達式	c=3 d=2.98012 t=494
zhi 	至	c=1 d=1 t=246
zhi chi 	支持	c=3 d=2.96042 t=523
zhi dao 	直到	c=1 d=1 t=108
zhi fa 	指法	c=1 d=1 t=134
zhi hu 	知乎	c=1 d=0.951229 t=582
zhi neng 	智能	c=1 d=1 t=235
zhi zhang 	肢障	c=1 d=1 t=187
zhong 	中	c=2 d=1.4607 t=242
zhong guo 	中國	c=3 d=1.80911 t=472
zhong guo xiao hua 	中國笑話	c=3 d=2.98012 t=470
zhong hua ren min gong he guo 	中華人民共和國	c=1 d=1 t=503
zhong wen 	中文	c=2 d=1.10487 t=528
zhong zhi 	中指	c=1 d=1 t=139
zhu ce 	註冊	c=0 d=0.1 t=80
zhu ti 	主題	c=2 d=1 t=582
zhu zhe 	住着	c=1 d=1 t=88
zhuan 	轉	c=0 d=0.099005 t=582
zhuang tai 	狀態	c=0 d=0.1 t=580
zi dong 	自動	c=2 d=1.91393 t=580
zi fu 	字符	c=1 d=1 t=396
zi ji 	自己	c=1 d=1.02254 t=339
zi ji de 	自己的	c=1 d=0.99005 t=582
zi mu 	字幕	c=1 d=1 t=582
zi ran ma 	自然碼	c=1 d=1.09608 t=184
zi ran ma shu ru fa 	自然碼輸入法	c=1 d=1 t=177
zi sha 	自殺	c=1 d=1 t=345
zi ti 	字體	c=1 d=1 t=410
zui 	最	c=1 d=0.416637 t=277
zui da 	最大	c=1 d=1 t=280
zui da hua 	最大化	c=2 d=1.96079 t=307
zui di bu 	最底部	c=0 d=0.1 t=284
zui ding duan 	最頂端	c=1 d=1 t=278
zui hou yi ge 	最後一個	c=1 d=1 t=428
zuo 	左	c=1 d=1 t=273
zuo ce 	左側	c=2 d=1.83527 t=286
zuo shou 	左手	c=1 d=1 t=135
zuo you 	左右	c=0 d=0.1 t=209
zuo you fen lie 	左右分裂	c=1 d=1 t=210
